event_slug,event_title,market_id,question,decision_date,rate_move_bps,rate_move_label,observed_ts,observed_day,close_price
fed-interest-rates-july-2024,Fed Interest Rates: July 2024,502387,No change in Fed interest rates after 2024 July meeting?,2024-07-31,0.0,0bps,1719532803.0,2024-06-28,0.9115
fed-interest-rates-july-2024,Fed Interest Rates: July 2024,502387,No change in Fed interest rates after 2024 July meeting?,2024-07-31,0.0,0bps,1719619202.0,2024-06-29,0.911
fed-interest-rates-july-2024,Fed Interest Rates: July 2024,502387,No change in Fed interest rates after 2024 July meeting?,2024-07-31,0.0,0bps,1719705602.0,2024-06-30,0.908
fed-interest-rates-july-2024,Fed Interest Rates: July 2024,502387,No change in Fed interest rates after 2024 July meeting?,2024-07-31,0.0,0bps,1719792002.0,2024-07-01,0.9095
fed-interest-rates-july-2024,Fed Interest Rates: July 2024,502387,No change in Fed interest rates after 2024 July meeting?,2024-07-31,0.0,0bps,1719878403.0,2024-07-02,0.9125
fed-interest-rates-july-2024,Fed Interest Rates: July 2024,502387,No change in Fed interest rates after 2024 July meeting?,2024-07-31,0.0,0bps,1719964802.0,2024-07-03,0.9125
fed-interest-rates-july-2024,Fed Interest Rates: July 2024,502387,No change in Fed interest rates after 2024 July meeting?,2024-07-31,0.0,0bps,1720051203.0,2024-07-04,0.912
fed-interest-rates-july-2024,Fed Interest Rates: July 2024,502387,No change in Fed interest rates after 2024 July meeting?,2024-07-31,0.0,0bps,1720137602.0,2024-07-05,0.904
fed-interest-rates-july-2024,Fed Interest Rates: July 2024,502387,No change in Fed interest rates after 2024 July meeting?,2024-07-31,0.0,0bps,1720224002.0,2024-07-06,0.914
fed-interest-rates-july-2024,Fed Interest Rates: July 2024,502387,No change in Fed interest rates after 2024 July meeting?,2024-07-31,0.0,0bps,1720310402.0,2024-07-07,0.914
fed-interest-rates-july-2024,Fed Interest Rates: July 2024,502387,No change in Fed interest rates after 2024 July meeting?,2024-07-31,0.0,0bps,1720396802.0,2024-07-08,0.9185
